State,Agency Type,Agency Name,Population1,Total Offenses
ARIZONA,Cities,Apache Junction,"41,245","2,306"
ARIZONA,Cities,Gilbert,"247,463","10,685"
ARIZONA,Cities,Wellton,"3,003",123
ARIZONA,Cities,Yuma,"96,121","6,740"
ARIZONA,Metropolitan Counties,Yuma,"62,335","2,988"
ARKANSAS,Cities,Alexander,"3,078",256
ARKANSAS,Cities,Alma,"5,772",698
ARKANSAS,Cities,Altus,735,72
ARKANSAS,Cities,Amity,678,36
ARKANSAS,Cities,Arkadelphia,"10,647",674
ARKANSAS,Cities,Ashdown,"4,389",300
ARKANSAS,Cities,Ash Flat,"1,090",40
ARKANSAS,Cities,Atkins,"3,041",243
ARKANSAS,Cities,Austin,"3,508",86
ARKANSAS,Cities,Bald Knob,"2,879",335
ARKANSAS,Cities,Barling,"4,972",564
ARKANSAS,Cities,Batesville,"10,782",836
ARKANSAS,Cities,Bay,"1,806",76
ARKANSAS,Cities,Beebe,"8,268",710
ARKANSAS,Cities,Bella Vista,"28,798",739
ARKANSAS,Cities,Benton2,"36,556",
ARKANSAS,Cities,Bentonville,"51,607","2,217"
ARKANSAS,Cities,Berryville,"5,470",411
ARKANSAS,Cities,Bethel Heights,"2,825",192
ARKANSAS,Cities,Blytheville,"13,843","2,139"
ARKANSAS,Cities,Bono,"2,405",161
ARKANSAS,Cities,Booneville,"3,837",269
ARKANSAS,Cities,Bradford,742,79
ARKANSAS,Cities,Brinkley,"2,658",442
ARKANSAS,Cities,Brookland,"3,582",169
ARKANSAS,Cities,Bryant,"20,738","1,910"
ARKANSAS,Cities,Bull Shoals,"1,943",102
ARKANSAS,Cities,Cabot,"26,459","1,407"
ARKANSAS,Cities,Caddo Valley,591,108
ARKANSAS,Cities,Camden,"10,880","1,330"
ARKANSAS,Cities,Caraway,"1,253",53
ARKANSAS,Cities,Carlisle,"2,177",145
ARKANSAS,Cities,Cave Springs,"4,981",54
ARKANSAS,Cities,Cedarville,"1,401",27
ARKANSAS,Cities,Centerton,"14,791",727
ARKANSAS,Cities,Charleston,"2,458",65
ARKANSAS,Cities,Cherokee Village,"4,637",220
ARKANSAS,Cities,Cherry Valley,593,61
ARKANSAS,Cities,Clarksville,"9,679",890
ARKANSAS,Cities,Clinton,"2,471",183
ARKANSAS,Cities,Conway,"66,720","7,451"
ARKANSAS,Cities,Corning,"3,102",170
ARKANSAS,Cities,Cotter,935,108
ARKANSAS,Cities,Crossett,"4,920",478
ARKANSAS,Cities,Damascus,372,12
ARKANSAS,Cities,Danville,"2,422",65
ARKANSAS,Cities,Dardanelle,"4,535",416
ARKANSAS,Cities,Decatur,"1,814",228
ARKANSAS,Cities,De Queen,"6,588",412
ARKANSAS,Cities,Des Arc,"1,618",92
ARKANSAS,Cities,DeWitt,"3,058",348
ARKANSAS,Cities,Diamond City,794,4
ARKANSAS,Cities,Diaz,"1,215",57
ARKANSAS,Cities,Dover,"1,411",81
ARKANSAS,Cities,Dumas,"4,179",107
ARKANSAS,Cities,El Dorado2,"17,916",
ARKANSAS,Cities,Elkins,"3,111",85
ARKANSAS,Cities,Eudora,"1,970",164
ARKANSAS,Cities,Eureka Springs,"2,073",323
ARKANSAS,Cities,Fairfield Bay,"2,189",202
ARKANSAS,Cities,Farmington,"7,032",379
ARKANSAS,Cities,Fayetteville,"87,008","9,533"
ARKANSAS,Cities,Flippin,"1,324",212
ARKANSAS,Cities,Fordyce,"3,852",431
ARKANSAS,Cities,Forrest City,"14,144","1,696"
ARKANSAS,Cities,Fort Smith,"88,290","9,899"
ARKANSAS,Cities,Gassville,"2,145",196
ARKANSAS,Cities,Gentry,"3,842",57
ARKANSAS,Cities,Gosnell,"3,225",156
ARKANSAS,Cities,Gravette,"3,328",289
ARKANSAS,Cities,Green Forest,"2,682",217
ARKANSAS,Cities,Greenland,"1,422",63
ARKANSAS,Cities,Greenwood,"9,454",260
ARKANSAS,Cities,Greers Ferry,854,24
ARKANSAS,Cities,Gurdon,"2,080",98
ARKANSAS,Cities,Hamburg,"2,672",60
ARKANSAS,Cities,Harrison,"13,100","1,422"
ARKANSAS,Cities,Haskell,"4,649",178
ARKANSAS,Cities,Hazen,"1,372",47
ARKANSAS,Cities,Heber Springs,"6,929",729
ARKANSAS,Cities,Helena-West Helena,"10,477","1,308"
ARKANSAS,Cities,Highfill,663,39
ARKANSAS,Cities,Highland,"1,104",74
ARKANSAS,Cities,Hope,"9,744","1,156"
ARKANSAS,Cities,Hot Springs,"37,006","5,274"
ARKANSAS,Cities,Hoxie,"2,611",108
ARKANSAS,Cities,Hughes,"1,254",61
ARKANSAS,Cities,Jacksonville,"28,530","4,362"
ARKANSAS,Cities,Jericho,111,13
ARKANSAS,Cities,Johnson,"3,716",227
ARKANSAS,Cities,Jonesboro,"77,134","8,507"
ARKANSAS,Cities,Judsonia,"1,988",106
ARKANSAS,Cities,Kensett,"1,629",233
ARKANSAS,Cities,Lake City,"2,507",79
ARKANSAS,Cities,Lakeview,713,35
ARKANSAS,Cities,Lake Village,"2,293",253
ARKANSAS,Cities,Lamar,"1,729",116
ARKANSAS,Cities,Lavaca,"2,464",111
ARKANSAS,Cities,Leachville,"1,766",70
ARKANSAS,Cities,Lewisville,"1,133",83
ARKANSAS,Cities,Lincoln,"2,489",197
ARKANSAS,Cities,Little Flock,"2,787",252
ARKANSAS,Cities,Little Rock,"199,288","33,193"
ARKANSAS,Cities,Lonoke,"4,247",405
ARKANSAS,Cities,Lowell,"9,522",382
ARKANSAS,Cities,Luxora,"1,044",10
ARKANSAS,Cities,Magnolia2,"11,425",
ARKANSAS,Cities,Mammoth Spring,931,8
ARKANSAS,Cities,Marianna,"3,492",699
ARKANSAS,Cities,Marion,"12,426","1,407"
ARKANSAS,Cities,Marked Tree,"2,493",236
ARKANSAS,Cities,Marmaduke,"1,260",75
ARKANSAS,Cities,Maumelle,"18,356",918
ARKANSAS,Cities,Mayflower,"2,511",237
ARKANSAS,Cities,McCrory,"1,532",76
ARKANSAS,Cities,McGehee,"3,775",240
ARKANSAS,Cities,McRae,665,25
ARKANSAS,Cities,Mena,"5,546",508
ARKANSAS,Cities,Menifee,312,9
ARKANSAS,Cities,Mineral Springs,"1,160",38
ARKANSAS,Cities,Monticello,"9,630",772
ARKANSAS,Cities,Morrilton,"6,633",982
ARKANSAS,Cities,Mountainburg,614,76
ARKANSAS,Cities,Mountain Home,"12,315","1,449"
ARKANSAS,Cities,Mountain View,"2,867",323
ARKANSAS,Cities,Mulberry,"1,640",149
ARKANSAS,Cities,Murfreesboro,"1,542",112
ARKANSAS,Cities,Nashville,"4,454",368
ARKANSAS,Cities,Newport,"7,654",993
ARKANSAS,Cities,Norfork,528,15
ARKANSAS,Cities,North Little Rock,"66,424","5,421"
ARKANSAS,Cities,Ola,"1,219",44
ARKANSAS,Cities,Osceola,"6,819",888
ARKANSAS,Cities,Paris,"3,379",499
ARKANSAS,Cities,Pea Ridge,"5,873",523
ARKANSAS,Cities,Perryville,"1,432",70
ARKANSAS,Cities,Piggott,"3,575",180
ARKANSAS,Cities,Pine Bluff,"42,195","6,517"
ARKANSAS,Cities,Plainview,584,0
ARKANSAS,Cities,Plumerville,775,36
ARKANSAS,Cities,Pocahontas,"6,478",783
ARKANSAS,Cities,Pottsville,"3,246",90
ARKANSAS,Cities,Prairie Grove,"5,921",389
ARKANSAS,Cities,Quitman,719,108
ARKANSAS,Cities,Redfield,"1,578",68
ARKANSAS,Cities,Rogers,"68,026","4,893"
ARKANSAS,Cities,Russellville,"29,455","2,356"
ARKANSAS,Cities,Salem,"1,605",47
ARKANSAS,Cities,Sheridan,"4,922",348
ARKANSAS,Cities,Sherwood,"31,284","3,034"
ARKANSAS,Cities,Siloam Springs2,"17,102",
ARKANSAS,Cities,Springdale,"80,895","8,053"
ARKANSAS,Cities,Star City,"2,099",149
ARKANSAS,Cities,St. Charles,211,62
ARKANSAS,Cities,Sulphur Springs,543,75
ARKANSAS,Cities,Swifton,738,18
ARKANSAS,Cities,Texarkana,"30,300","3,836"
ARKANSAS,Cities,Trumann,"7,071","1,128"
ARKANSAS,Cities,Tuckerman,"1,708",87
ARKANSAS,Cities,Tyronza,746,43
ARKANSAS,Cities,Van Buren,"23,608","2,115"
ARKANSAS,Cities,Vilonia,"4,648",206
ARKANSAS,Cities,Waldron,"3,375",380
ARKANSAS,Cities,Walnut Ridge,"5,013",244
ARKANSAS,Cities,Ward,"5,278",311
ARKANSAS,Cities,Warren,"5,608",361
ARKANSAS,Cities,West Fork,"2,623",199
ARKANSAS,Cities,West Memphis,"24,668","3,751"
ARKANSAS,Cities,White Hall,"4,987",228
ARKANSAS,Cities,Wilson,845,32
ARKANSAS,Cities,Wynne,"7,907","1,021"
ARKANSAS,Universities and Colleges,Arkansas State University:,,
ARKANSAS,Universities and Colleges,Beebe,"5,491",16
ARKANSAS,Universities and Colleges,Jonesboro,"19,148",155
ARKANSAS,Universities and Colleges,Arkansas Tech University,"13,677",126
ARKANSAS,Universities and Colleges,Henderson State University,"4,043",66
ARKANSAS,Universities and Colleges,Southern Arkansas University,"5,683",78
ARKANSAS,Universities and Colleges,University of Arkansas:,,
ARKANSAS,Universities and Colleges,Fayetteville,"29,958",466
ARKANSAS,Universities and Colleges,Little Rock,"14,292",106
ARKANSAS,Universities and Colleges,Medical Sciences,"3,147",162
ARKANSAS,Universities and Colleges,Monticello,"4,702",61
ARKANSAS,Universities and Colleges,University of Arkansas Community College at Morrilton,"2,684",5
ARKANSAS,Universities and Colleges,University of Central Arkansas,"13,347",230
ARKANSAS,Metropolitan Counties,Benton,,"2,171"
ARKANSAS,Metropolitan Counties,Cleveland,,204
ARKANSAS,Metropolitan Counties,Craighead,,805
ARKANSAS,Metropolitan Counties,Crawford,,"1,372"
ARKANSAS,Metropolitan Counties,Crittenden,,"1,034"
ARKANSAS,Metropolitan Counties,Faulkner,,"2,685"
ARKANSAS,Metropolitan Counties,Garland,,"2,892"
ARKANSAS,Metropolitan Counties,Grant,,376
ARKANSAS,Metropolitan Counties,Jefferson,,"1,105"
ARKANSAS,Metropolitan Counties,Lincoln,,109
ARKANSAS,Metropolitan Counties,Little River,,208
ARKANSAS,Metropolitan Counties,Lonoke,,"1,124"
ARKANSAS,Metropolitan Counties,Miller2,,
ARKANSAS,Metropolitan Counties,Perry,,219
ARKANSAS,Metropolitan Counties,Pulaski,,"4,612"
ARKANSAS,Metropolitan Counties,Saline,,"2,401"
ARKANSAS,Metropolitan Counties,Sebastian,,882
ARKANSAS,Metropolitan Counties,Washington2,,
ARKANSAS,Nonmetropolitan Counties,Arkansas,,223
ARKANSAS,Nonmetropolitan Counties,Ashley,,439
ARKANSAS,Nonmetropolitan Counties,Baxter,,"1,409"
ARKANSAS,Nonmetropolitan Counties,Boone,,974
ARKANSAS,Nonmetropolitan Counties,Bradley,,109
ARKANSAS,Nonmetropolitan Counties,Calhoun,,77
ARKANSAS,Nonmetropolitan Counties,Carroll,,488
ARKANSAS,Nonmetropolitan Counties,Chicot,,169
ARKANSAS,Nonmetropolitan Counties,Clark,,174
ARKANSAS,Nonmetropolitan Counties,Clay,,301
ARKANSAS,Nonmetropolitan Counties,Cleburne,,"1,010"
ARKANSAS,Nonmetropolitan Counties,Columbia,,146
ARKANSAS,Nonmetropolitan Counties,Conway,,895
ARKANSAS,Nonmetropolitan Counties,Cross,,275
ARKANSAS,Nonmetropolitan Counties,Drew,,178
ARKANSAS,Nonmetropolitan Counties,Fulton,,222
ARKANSAS,Nonmetropolitan Counties,Greene,,705
ARKANSAS,Nonmetropolitan Counties,Hempstead,,524
ARKANSAS,Nonmetropolitan Counties,Howard,,206
ARKANSAS,Nonmetropolitan Counties,Independence,,"1,417"
ARKANSAS,Nonmetropolitan Counties,Izard,,788
ARKANSAS,Nonmetropolitan Counties,Jackson,,365
ARKANSAS,Nonmetropolitan Counties,Johnson,,474
ARKANSAS,Nonmetropolitan Counties,Lee,,172
ARKANSAS,Nonmetropolitan Counties,Logan,,472
ARKANSAS,Nonmetropolitan Counties,Marion,,728
ARKANSAS,Nonmetropolitan Counties,Mississippi,,654
ARKANSAS,Nonmetropolitan Counties,Montgomery,,196
ARKANSAS,Nonmetropolitan Counties,Newton,,198
ARKANSAS,Nonmetropolitan Counties,Pike,,158
ARKANSAS,Nonmetropolitan Counties,Polk,,200
ARKANSAS,Nonmetropolitan Counties,Pope,,618
ARKANSAS,Nonmetropolitan Counties,Prairie,,163
ARKANSAS,Nonmetropolitan Counties,Scott,,247
ARKANSAS,Nonmetropolitan Counties,Searcy,,129
ARKANSAS,Nonmetropolitan Counties,Sevier,,257
ARKANSAS,Nonmetropolitan Counties,St. Francis,,563
ARKANSAS,Nonmetropolitan Counties,Union,,625
ARKANSAS,Nonmetropolitan Counties,White,,"2,032"
ARKANSAS,Nonmetropolitan Counties,Woodruff,,99
ARKANSAS,Nonmetropolitan Counties,Yell,,555
ARKANSAS,Other,Northwest Arkansas Regional Airport,,34
ARKANSAS,Other,State Capitol Police,,51
COLORADO,Cities,Alamosa,"9,955","1,198"
COLORADO,Cities,Arvada,"120,631","6,564"
COLORADO,Cities,Aspen,"7,465",482
COLORADO,Cities,Ault,"1,792",26
COLORADO,Cities,Aurora,"372,824","28,851"
COLORADO,Cities,Avon,"6,565",362
