State,Agency Type,Agency Name,Population1,"Total Offenses","Crimes Against Persons","Crimes Against Property","Crimes Against Society","Assault Offenses","Aggravated Assault","Simple Assault",Intimidation,"Homicide Offenses","Murder and Nonnegligent Manslaughter","Negligent Man- 1slaughter","Justifiable Homicide","Human Trafficking Offenses","Commercial Sex Acts","Involuntary Servitude","Kidnapping/ Abduction","Sex Offenses",Rape,Sodomy,"Sexual Assault With an Object",Fondling,Incest,"Statutory Rape",Arson,Bribery,"Burglary/ Breaking & Entering","Counter- feiting/ Forgery","Destruction/ Damage/ Vandalism of Property","Embezzle- ment","Extortion/ Blackmail","Fraud Offenses","False Pretenses/ Swindle/ Confidence Game","Credit Card/ Automated Teller Machine Fraud","Imper- sonation","Welfare Fraud","Wire Fraud","Identity  Theft","Hacking/ Computer  Invasion","Larceny/ Theft Offenses","Pocket- picking","Purse- snatching","Shop- lifting","Theft From Building","Theft From Coin Op- erated Machine or Device","Theft from Motor Vehicle","Theft of  Motor  Vehicle Parts or Acces- sories","All Other Larceny","Motor Vehicle Theft",Robbery,"Stolen Property Offenses","Animal  Cruelty","Drug/ Narcotic Offenses","Drug/ Narcotic Violations","Drug Equipment Violations","Gambling Offenses","Betting/ Wagering","Operating/ Promoting/ Assisting Gambling","Gambling Equipment Violations","Sports Tampering","Por- nography/ Obscene Material","Pros- titution Offenses","Pros- titution","Assisting or Promoting Prostitution","Purchasing Prostitution","Weapon Law Violations"
ARIZONA,Cities,Apache Junction,"41,245","2,306",525,"1,280",501,442,65,320,57,0,0,0,0,0,0,0,11,72,0,0,0,72,0,0,5,0,109,31,297,6,1,126,74,38,14,0,0,0,0,588,0,0,169,13,0,128,11,267,78,16,23,0,459,250,209,0,0,0,0,0,3,0,0,0,0,39
ARIZONA,Cities,Gilbert,"247,463","10,685","1,814","6,262","2,609","1,553",127,"1,083",343,2,2,0,0,0,0,0,57,202,73,2,0,93,0,34,16,0,407,115,"1,925",18,9,716,287,174,7,0,0,246,2,"2,781",4,10,729,104,1,945,58,930,157,32,86,2,"2,454","1,158","1,296",0,0,0,0,0,56,4,3,1,0,93
ARIZONA,Cities,Wellton,"3,003",123,24,58,41,16,2,13,1,3,3,0,0,0,0,0,1,4,0,1,0,2,0,1,0,0,13,0,13,0,0,7,2,1,4,0,0,0,0,22,0,0,2,0,0,0,0,20,3,0,0,0,39,22,17,0,0,0,0,0,0,0,0,0,0,2
ARIZONA,Cities,Yuma,"96,121","6,740","1,261","3,966","1,513","1,102",394,591,117,9,9,0,0,0,0,0,26,124,36,1,0,60,0,27,18,0,416,62,"1,069",0,2,211,79,80,52,0,0,0,0,"1,870",0,0,621,0,0,179,21,"1,049",236,55,27,0,"1,372",628,744,0,0,0,0,0,33,0,0,0,0,108
ARIZONA,Metropolitan Counties,Yuma,"62,335","2,988",704,"1,829",455,631,111,456,64,14,11,3,0,0,0,0,16,43,13,4,0,20,0,6,5,1,320,18,491,0,6,183,111,25,47,0,0,0,0,651,0,0,36,0,0,33,1,581,112,7,35,0,405,190,215,0,0,0,0,0,12,0,0,0,0,38
ARKANSAS,Cities,Alexander,"3,078",256,72,118,66,66,12,20,34,2,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,20,1,31,0,0,7,4,3,0,0,0,0,0,47,0,1,2,5,0,7,0,32,9,1,2,0,62,37,25,0,0,0,0,0,1,0,0,0,0,3
ARKANSAS,Cities,Alma,"5,772",698,239,377,82,218,25,106,87,0,0,0,0,0,0,0,9,12,5,7,0,0,0,0,0,0,37,17,61,0,0,28,1,20,7,0,0,0,0,207,0,0,9,23,0,23,4,148,11,3,13,0,76,43,33,0,0,0,0,0,1,0,0,0,0,5
ARKANSAS,Cities,Altus,735,72,7,17,48,6,0,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,3,0,0,2,1,0,1,0,0,0,0,6,0,0,2,0,0,0,0,4,0,0,1,0,46,24,22,0,0,0,0,0,0,0,0,0,0,2
ARKANSAS,Cities,Amity,678,36,16,12,8,16,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0
ARKANSAS,Cities,Arkadelphia,"10,647",674,192,433,49,179,29,111,39,0,0,0,0,0,0,0,1,12,3,9,0,0,0,0,0,0,44,16,104,0,0,35,2,29,4,0,0,0,0,212,2,0,22,6,0,25,4,153,9,4,9,0,39,29,10,0,0,0,0,0,0,0,0,0,0,10
ARKANSAS,Cities,Ashdown,"4,389",300,61,169,70,56,10,44,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,25,3,37,0,0,3,0,0,3,0,0,0,0,94,0,0,34,0,0,0,0,60,3,1,3,0,68,60,8,0,0,0,0,0,1,0,0,0,0,1
ARKANSAS,Cities,Ash Flat,"1,090",40,10,26,4,10,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,3,1,2,0,0,0,0,0,16,0,0,3,2,0,1,0,10,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
